RunOrder;StandardOrder;Temperature;Material;Repeat;Response
1;6;125;b;1;25
2;35;70;c;4;139
3;11;70;a;2;40
4;33;125;b;4;45
5;19;15;a;3;74
6;9;125;c;1;96
7;4;15;b;1;150
8;5;70;b;1;136
9;36;125;c;4;60
10;21;125;a;3;82
11;28;15;a;4;180
12;15;125;b;2;70
13;10;15;a;2;155
14;16;15;c;2;110
15;31;15;b;4;126
16;3;125;a;1;20
17;30;125;a;4;58
18;25;15;c;3;168
19;23;70;b;3;106
20;26;70;c;3;150
21;20;70;a;3;80
22;34;15;c;4;160
23;29;70;a;4;75
24;18;125;c;2;104
25;2;70;a;1;34
26;7;15;c;1;138
27;13;15;b;2;188
28;24;125;b;3;58
29;14;70;b;2;122
30;17;70;c;2;120
31;12;125;a;2;70
32;32;70;b;4;115
33;27;125;c;3;82
34;1;15;a;1;130
35;22;15;b;3;159
36;8;70;c;1;174
