# Soap bottle drop test survival
# p is the filling level, OK is the test outcome
run p OK
1 99.314 TRUE
2 99.357 TRUE
3 99.624 TRUE
4 99.429 FALSE
5 99.86 FALSE
6 99.212 TRUE
7 99.734 FALSE
8 99.422 TRUE
9 99.87 FALSE
10 99.695 FALSE
11 99.737 FALSE
12 99.336 TRUE
13 99.73 FALSE
14 99.53 FALSE
15 99.318 TRUE
16 99.709 FALSE
17 99.477 TRUE
18 99.375 TRUE
19 99.351 TRUE
20 99.65 FALSE
21 99.464 TRUE
22 99.593 FALSE
23 99.718 FALSE
24 99.249 TRUE
25 99.755 FALSE
26 99.503 FALSE
27 99.347 TRUE
28 99.287 TRUE
29 99.158 TRUE
30 99.344 TRUE
31 99.298 TRUE
32 99.625 FALSE
33 99.632 FALSE
34 99.483 FALSE
35 99.229 TRUE
36 99.729 FALSE
37 99.419 TRUE
38 99.463 TRUE
39 99.581 FALSE
40 99.793 FALSE
41 99.716 FALSE
42 99.798 FALSE
43 99.538 FALSE
44 99.329 TRUE
45 99.344 TRUE
46 99.389 TRUE
47 99.129 TRUE
48 99.808 FALSE
49 99.24 TRUE
50 99.365 TRUE
51 99.532 FALSE
52 99.601 FALSE
53 99.765 FALSE
54 99.747 FALSE
55 99.641 FALSE
56 99.439 TRUE
57 99.614 FALSE
58 99.346 TRUE
59 99.427 TRUE
60 99.24 TRUE
61 99.803 FALSE
62 99.609 TRUE
63 99.649 FALSE
64 99.801 FALSE
65 99.284 TRUE
66 99.304 TRUE
67 99.609 FALSE
68 99.376 TRUE
69 99.774 FALSE
70 99.277 TRUE
71 99.278 TRUE
72 99.685 FALSE
73 99.383 TRUE
74 99.525 FALSE
75 99.33 TRUE
76 99.583 FALSE
77 99.583 FALSE
78 99.564 FALSE
79 99.339 TRUE
80 99.289 TRUE
81 99.695 FALSE
82 99.268 TRUE
83 99.689 FALSE
84 99.401 FALSE
85 99.533 FALSE
86 99.82 FALSE
87 99.228 TRUE
88 99.185 TRUE
89 99.39 FALSE
90 99.729 FALSE
91 99.537 FALSE
92 99.367 TRUE
93 99.417 TRUE
94 99.659 FALSE
95 99.618 TRUE
96 99.272 TRUE
97 99.343 TRUE
98 99.904 FALSE
99 99.201 TRUE
100 99.264 TRUE
101 99.703 FALSE
102 99.81 FALSE
103 99.337 TRUE
104 99.222 TRUE
105 99.542 FALSE
106 99.354 TRUE
107 99.592 FALSE
108 99.386 TRUE
109 99.439 FALSE
110 99.76 FALSE
111 99.259 TRUE
112 99.369 TRUE
113 99.604 FALSE
114 99.433 TRUE
115 99.796 FALSE
116 99.691 FALSE
117 99.192 TRUE
118 99.604 FALSE
119 99.245 TRUE
120 99.174 TRUE
121 99.773 FALSE
122 99.195 TRUE
123 99.196 TRUE
124 99.357 TRUE
125 99.773 FALSE
126 99.568 TRUE
127 99.67 FALSE
128 99.374 TRUE
129 99.35 TRUE
130 99.436 TRUE
131 99.426 TRUE
132 99.353 TRUE
133 99.161 TRUE
134 99.349 TRUE
135 99.584 FALSE
136 99.698 FALSE
137 99.491 FALSE
138 99.265 TRUE
139 99.106 TRUE
140 99.412 TRUE
141 99.788 FALSE
142 99.499 FALSE
143 99.835 FALSE
144 99.437 TRUE
145 99.355 TRUE
146 99.393 TRUE
147 99.498 TRUE
148 99.114 TRUE
149 99.216 TRUE
150 99.341 TRUE
151 99.529 FALSE
152 99.815 FALSE
153 99.595 FALSE
154 99.803 FALSE
155 99.842 FALSE
156 99.332 TRUE
157 99.562 FALSE
158 99.673 FALSE
159 99.486 FALSE
160 99.732 FALSE
161 99.213 TRUE
162 99.475 TRUE
163 99.284 TRUE
164 99.657 FALSE
165 99.754 FALSE
166 99.659 FALSE
167 99.207 TRUE
168 99.747 FALSE
169 99.425 TRUE
170 99.059 TRUE
171 99.463 TRUE
172 99.845 FALSE
173 99.872 FALSE
174 99.743 FALSE
175 99.208 TRUE
176 99.284 TRUE
177 99.618 FALSE
178 99.609 FALSE
179 99.67 FALSE
180 99.506 TRUE
181 99.247 TRUE
182 99.591 TRUE
183 99.356 TRUE
184 99.813 FALSE
185 99.62 FALSE
186 99.684 FALSE
187 99.301 TRUE
188 99.174 TRUE
189 99.362 TRUE
190 99.243 TRUE
191 99.512 TRUE
192 99.606 TRUE
193 99.455 TRUE
194 99.65 FALSE
195 99.712 FALSE
196 99.871 FALSE
197 99.71 FALSE
198 99.652 FALSE
199 99.697 FALSE
200 99.663 FALSE
201 99.743 FALSE
202 99.642 FALSE
203 99.243 TRUE
204 99.3 TRUE
205 99.519 FALSE
206 99.364 TRUE
207 99.378 TRUE
208 99.218 TRUE
209 99.626 FALSE
210 99.753 FALSE
211 99.766 FALSE
212 99.698 FALSE
213 99.379 TRUE
214 99.652 FALSE
215 99.547 FALSE
216 99.381 TRUE
217 99.742 FALSE
218 99.358 TRUE
219 99.312 TRUE
220 99.313 TRUE
221 99.353 TRUE
222 99.296 TRUE
223 99.618 FALSE
224 99.786 FALSE
225 99.322 TRUE
226 99.926 FALSE
227 99.358 TRUE
228 99.553 FALSE
229 99.813 FALSE
230 99.56 TRUE
231 99.42 TRUE
232 99.713 FALSE
233 99.256 TRUE
234 99.374 TRUE
235 99.706 FALSE
236 99.68 FALSE
237 99.269 TRUE
238 99.608 FALSE
239 99.69 FALSE
240 99.562 FALSE
241 99.423 TRUE
242 99.584 FALSE
243 99.632 FALSE
244 99.478 FALSE
245 99.596 FALSE
246 99.329 TRUE
247 99.236 TRUE
248 99.294 TRUE
249 99.637 FALSE
250 99.656 FALSE
251 99.664 FALSE
252 99.572 FALSE
253 99.721 FALSE
254 99.576 FALSE
255 99.645 FALSE
256 99.523 FALSE
257 99.677 FALSE
258 99.704 FALSE
259 99.461 TRUE
260 99.432 TRUE
261 99.301 TRUE
262 99.576 FALSE
263 99.643 FALSE
264 99.128 TRUE
265 99.269 TRUE
266 99.509 TRUE
267 99.501 FALSE
268 99.495 TRUE
269 99.197 TRUE
270 99.375 TRUE
271 99.127 TRUE
272 99.574 FALSE
273 99.751 FALSE
274 99.669 TRUE
275 99.35 TRUE
276 99.479 TRUE
277 99.828 FALSE
278 99.847 FALSE
279 99.156 TRUE
280 99.674 FALSE
281 99.24 TRUE
282 99.47 FALSE
283 99.291 TRUE
284 99.401 TRUE
285 99.423 TRUE
286 99.67 FALSE
287 99.701 FALSE
288 99.67 FALSE
289 99.22 TRUE
290 99.635 FALSE
291 99.845 FALSE
292 99.213 TRUE
293 99.257 TRUE
294 99.637 FALSE
295 99.614 FALSE
296 99.561 FALSE
297 99.315 TRUE
298 99.554 FALSE
299 99.637 FALSE
300 99.738 FALSE
301 99.339 TRUE
302 99.539 FALSE
303 99.238 TRUE
304 99.15 TRUE
305 99.438 TRUE
306 99.797 FALSE
307 99.294 TRUE
308 99.657 FALSE
309 99.534 FALSE
310 99.271 TRUE
311 99.225 TRUE
312 99.463 TRUE
313 99.562 FALSE
314 99.475 FALSE
315 99.242 TRUE
316 99.494 FALSE
317 99.564 TRUE
318 99.296 TRUE
319 99.353 TRUE
320 99.765 FALSE
321 99.289 TRUE
322 99.348 TRUE
323 99.639 FALSE
324 99.633 FALSE
325 99.256 TRUE
326 99.707 FALSE
327 99.509 TRUE
328 99.713 FALSE
329 99.486 TRUE
330 99.858 FALSE
331 99.254 TRUE
332 99.621 FALSE
333 99.471 TRUE
334 99.253 TRUE
335 99.325 TRUE
336 99.471 FALSE
337 99.813 FALSE
338 99.472 TRUE
339 99.443 TRUE
340 99.82 FALSE
341 99.817 FALSE
342 99.333 TRUE
343 99.647 FALSE
344 99.206 TRUE
345 99.358 TRUE
346 99.721 FALSE
347 99.617 FALSE
348 99.548 FALSE
349 99.243 TRUE
350 99.687 FALSE
351 99.418 TRUE
352 99.734 FALSE
353 99.26 TRUE
354 99.674 FALSE
355 99.709 FALSE
356 99.368 TRUE
357 99.798 FALSE
358 99.255 TRUE
359 99.706 FALSE
360 99.422 TRUE
361 99.674 FALSE
362 99.326 TRUE
363 99.692 FALSE
364 99.794 FALSE
365 99.729 FALSE
366 99.38 TRUE
367 99.59 TRUE
368 99.529 TRUE
369 99.311 TRUE
370 99.23 TRUE
371 99.264 TRUE
372 99.792 FALSE
373 99.223 TRUE
374 99.884 FALSE
375 99.583 TRUE
376 99.479 TRUE
377 99.5 TRUE
378 99.75 FALSE
379 99.853 FALSE
380 99.694 FALSE
381 99.866 FALSE
382 99.62 TRUE
383 99.508 FALSE
384 99.58 FALSE
385 99.192 TRUE
386 99.158 TRUE
387 99.353 TRUE
388 99.827 FALSE
389 99.751 FALSE
390 99.803 FALSE
391 99.341 TRUE
392 99.318 TRUE
393 99.742 TRUE
394 99.293 TRUE
395 99.795 FALSE
396 99.179 TRUE
397 99.897 FALSE
398 99.788 FALSE
399 99.723 FALSE
400 99.361 TRUE
